f1_calm,precision_calm,recall_calm,f1_elevated,precision_elevated,recall_elevated,f1_stress,precision_stress,recall_stress,f1_macro_avg,precision_macro_avg,recall_macro_avg,f1_weighted_avg,precision_weighted_avg,recall_weighted_avg,accuracy,seed,fold,mode,model,f1_not_stress,precision_not_stress,recall_not_stress
,,,,,,0.8095,0.762,0.8633,0.8574,0.8481,0.8706,0.8754,0.8805,0.8734,0.8734,777,1,binary,rf,0.9052,0.9342,0.878
,,,,,,0.7962,0.7232,0.8856,0.8441,0.8328,0.8661,0.8621,0.8741,0.8588,0.8588,777,1,binary,xgb,0.8919,0.9424,0.8466
,,,,,,0.686,0.5903,0.8187,0.75,0.7454,0.7808,0.7742,0.8039,0.7665,0.7665,777,1,binary,lstm,0.8141,0.9005,0.7428
,,,,,,0.0559,0.2638,0.0313,0.4284,0.4752,0.4959,0.5687,0.5549,0.671,0.671,777,1,binary,cnn_gaf,0.8008,0.6866,0.9605
0.9162,0.966,0.8714,0.1146,0.0811,0.1955,0.7877,0.671,0.9535,0.6062,0.5727,0.6735,0.8788,0.9095,0.8588,0.8588,777,2,multiclass,lr,,,
0.8904,0.9759,0.8188,0.1814,0.1093,0.5332,0.8653,0.7901,0.9564,0.6457,0.6251,0.7694,0.8662,0.9308,0.8237,0.8237,777,2,multiclass,rf,,,
0.9295,0.99,0.8759,0.3521,0.2233,0.8318,0.8943,0.8305,0.9686,0.7253,0.6813,0.8921,0.9083,0.9506,0.8838,0.8838,777,2,multiclass,xgb,,,
0.9231,0.9273,0.919,0.0532,0.0651,0.045,0.5407,0.5007,0.5876,0.5057,0.4977,0.5172,0.8584,0.8584,0.8592,0.8592,777,2,multiclass,lstm,,,
0.5042,0.9115,0.3484,0.0658,0.0515,0.0911,0.2108,0.1225,0.7557,0.2602,0.3618,0.3984,0.4615,0.8067,0.381,0.381,777,2,multiclass,cnn_gaf,,,
,,,,,,0.6402,0.4789,0.9649,0.7884,0.7373,0.9246,0.9072,0.9443,0.8922,0.8922,777,2,binary,lr,0.9366,0.9956,0.8842
,,,,,,0.871,0.7905,0.9698,0.9275,0.8935,0.9707,0.9727,0.9761,0.9715,0.9715,777,2,binary,rf,0.984,0.9966,0.9716
,,,,,,0.8965,0.8318,0.9721,0.942,0.9144,0.9752,0.9785,0.9805,0.9777,0.9777,777,2,binary,xgb,0.9875,0.9969,0.9783
,,,,,,0.5204,0.4534,0.6107,0.7286,0.7044,0.7647,0.8954,0.9055,0.8882,0.8882,777,2,binary,lstm,0.9367,0.9553,0.9188
,,,,,,0.2014,0.1134,0.8974,0.2834,0.5329,0.5618,0.3492,0.869,0.2928,0.2928,777,2,binary,cnn_gaf,0.3655,0.9523,0.2262
0.7994,0.6891,0.9518,0.5304,0.9278,0.3713,0.4921,0.3307,0.9614,0.6073,0.6492,0.7615,0.6152,0.7833,0.6282,0.6282,777,3,multiclass,lr,,,
0.9691,0.9689,0.9693,0.9652,0.9557,0.9748,0.8882,0.9394,0.8423,0.9408,0.9546,0.9288,0.958,0.9583,0.9584,0.9584,777,3,multiclass,rf,,,
0.9799,0.9889,0.9711,0.9715,0.9523,0.9915,0.8908,0.9728,0.8216,0.9474,0.9713,0.928,0.9654,0.9666,0.9661,0.9661,777,3,multiclass,xgb,,,
0.2031,0.2347,0.1791,0.6271,0.5923,0.6662,0.465,0.4479,0.4835,0.4317,0.425,0.4429,0.469,0.4581,0.4849,0.4849,777,3,multiclass,lstm,,,
0.2214,0.2054,0.2402,0.4866,0.6133,0.4033,0.1206,0.0873,0.195,0.2762,0.302,0.2795,0.3587,0.4205,0.3265,0.3265,777,3,multiclass,cnn_gaf,,,
,,,,,,0.4603,0.3008,0.9796,0.6479,0.6487,0.8495,0.7944,0.9202,0.748,0.748,777,3,binary,lr,0.8356,0.9965,0.7194
,,,,,,0.9024,0.8844,0.9211,0.9451,0.9373,0.9532,0.9783,0.9786,0.9781,0.9781,777,3,binary,rf,0.9877,0.9902,0.9852
,,,,,,0.9059,0.9583,0.8589,0.9475,0.9705,0.9271,0.9799,0.9801,0.9804,0.9804,777,3,binary,xgb,0.9891,0.9828,0.9954
,,,,,,0.4555,0.4036,0.5227,0.6885,0.6713,0.7138,0.8704,0.8802,0.8629,0.8629,777,3,binary,lstm,0.9216,0.939,0.9048
,,,,,,0.1197,0.0808,0.2309,0.4416,0.4789,0.4535,0.693,0.7897,0.6273,0.6273,777,3,binary,cnn_gaf,0.7636,0.8771,0.6761
0.7744,0.6325,0.9983,0.0244,0.0168,0.0444,0.2834,0.999,0.1651,0.3607,0.5494,0.4026,0.5643,0.7797,0.6444,0.6444,777,4,multiclass,lr,,,
0.9655,0.9509,0.9806,0.7349,0.6842,0.7936,0.9509,0.9741,0.9288,0.8838,0.8697,0.901,0.9576,0.9584,0.9576,0.9576,777,4,multiclass,rf,,,
0.9708,0.957,0.9851,0.8391,0.76,0.9367,0.9597,0.9824,0.9379,0.9232,0.8998,0.9532,0.9651,0.9659,0.9651,0.9651,777,4,multiclass,xgb,,,
0.8119,0.7605,0.8707,0.0033,0.0036,0.003,0.6936,0.7792,0.625,0.5029,0.5144,0.4996,0.7562,0.7621,0.7616,0.7616,777,4,multiclass,lstm,,,
0.6625,0.5941,0.7486,0.0278,0.0216,0.0391,0.3497,0.4555,0.2838,0.3467,0.3571,0.3572,0.5274,0.5319,0.5498,0.5498,777,4,multiclass,cnn_gaf,,,
,,,,,,0.4724,0.9801,0.3112,0.6368,0.8252,0.6534,0.6646,0.799,0.7113,0.7113,777,4,binary,lr,0.8012,0.6704,0.9955
,,,,,,0.9523,0.9652,0.9398,0.9596,0.9616,0.9578,0.9608,0.961,0.9609,0.9609,777,4,binary,rf,0.9669,0.958,0.9759
,,,,,,0.9646,0.9761,0.9534,0.97,0.9718,0.9684,0.9709,0.971,0.9709,0.9709,777,4,binary,xgb,0.9754,0.9674,0.9834
,,,,,,0.7235,0.7591,0.6911,0.7708,0.7763,0.7676,0.7788,0.7793,0.7805,0.7805,777,4,binary,lstm,0.8181,0.7936,0.8441
,,,,,,0.4537,0.4597,0.4478,0.537,0.5372,0.5369,0.5511,0.5503,0.552,0.552,777,4,binary,cnn_gaf,0.6203,0.6147,0.6259
0.5704,0.5021,0.6601,0.2862,0.3914,0.2255,0.6207,0.5652,0.6883,0.4924,0.4862,0.5246,0.4766,0.4791,0.5015,0.5015,999,1,multiclass,lr,,,
0.7841,0.9011,0.694,0.7357,0.7189,0.7534,0.8036,0.7469,0.8697,0.7745,0.789,0.7724,0.7716,0.7829,0.7716,0.7716,999,1,multiclass,rf,,,
0.8854,0.8891,0.8817,0.7778,0.8574,0.7118,0.793,0.722,0.8794,0.8187,0.8228,0.8243,0.8152,0.8248,0.8156,0.8156,999,1,multiclass,xgb,,,
0.4906,0.474,0.5084,0.5622,0.658,0.4907,0.6079,0.5483,0.6819,0.5535,0.5601,0.5603,0.5547,0.568,0.5556,0.5556,999,1,multiclass,lstm,,,
0.3178,0.3673,0.28,0.5038,0.4087,0.6565,0.1758,0.2703,0.1302,0.3324,0.3488,0.3556,0.3452,0.353,0.3784,0.3784,999,1,multiclass,cnn_gaf,,,
,,,,,,0.6632,0.594,0.7507,0.7399,0.7329,0.7592,0.7688,0.7853,0.7624,0.7624,999,1,binary,lr,0.8165,0.8719,0.7678
,,,,,,0.8211,0.7835,0.8624,0.867,0.8592,0.8773,0.8843,0.8876,0.8829,0.8829,999,1,binary,rf,0.913,0.9348,0.8922
,,,,,,0.7837,0.7124,0.871,0.8346,0.8237,0.8559,0.8538,0.8657,0.8502,0.8502,999,1,binary,xgb,0.8855,0.9351,0.8408
,,,,,,0.6412,0.5172,0.8434,0.6961,0.709,0.7436,0.7167,0.7813,0.706,0.706,999,1,binary,lstm,0.7509,0.9008,0.6438
,,,,,,0.0012,0.4361,0.0006,0.4083,0.5623,0.5001,0.5617,0.6099,0.6884,0.6884,999,1,binary,cnn_gaf,0.8154,0.6885,0.9996
0.9162,0.966,0.8714,0.1146,0.0811,0.1955,0.7877,0.671,0.9535,0.6062,0.5727,0.6735,0.8788,0.9095,0.8588,0.8588,999,2,multiclass,lr,,,
0.8925,0.9767,0.8217,0.1923,0.1163,0.5564,0.8619,0.7847,0.956,0.6489,0.6259,0.778,0.8679,0.9311,0.8269,0.8269,999,2,multiclass,rf,,,
0.9269,0.9902,0.8712,0.3419,0.2149,0.8359,0.8971,0.8359,0.968,0.722,0.6803,0.8917,0.906,0.951,0.8798,0.8798,999,2,multiclass,xgb,,,
0.9098,0.9262,0.8939,0.0719,0.0581,0.0943,0.5474,0.5198,0.578,0.5097,0.5014,0.5221,0.848,0.8591,0.838,0.838,999,2,multiclass,lstm,,,
0.545,0.9058,0.3898,0.0642,0.0511,0.0865,0.2103,0.1234,0.7122,0.2732,0.3601,0.3962,0.497,0.8018,0.4125,0.4125,999,2,multiclass,cnn_gaf,,,
